entity_id,dimension,value,is_primary
1,population,general_public,1
1,sector,education,1
1,region,national,1
2,population,Indigenous,1
2,population,youth,0
2,sector,employment,1
2,sector,education,0
2,region,national,1
3,population,disabilities,1
3,sector,public_services,1
3,region,national,1
4,population,youth,1
4,sector,education,1
4,region,ON,1
5,population,Indigenous,1
5,sector,employment,1
5,sector,skills_training,0
5,region,national,1
6,population,Indigenous,1
6,population,rural_remote,0
6,sector,public_services,1
6,region,national,1
7,population,Indigenous,1
7,population,youth,0
7,sector,employment,1
7,sector,healthcare,0
7,region,national,1
8,population,Indigenous,1
8,population,women,0
8,sector,public_services,1
8,region,national,1
9,population,Indigenous,1
9,population,women,0
9,sector,public_services,1
9,region,national,1
10,population,general_public,1
10,sector,education,1
10,region,national,1
11,population,Indigenous,1
11,population,First_Nations,0
11,sector,public_services,1
11,region,national,1
12,population,Indigenous,1
12,population,First_Nations,0
12,population,Metis,0
12,population,Inuit,0
12,sector,employment,1
12,region,national,1
13,population,general_public,1
13,sector,education,1
13,sector,funding_grants,0
13,region,national,1
14,population,Indigenous,1
14,sector,public_services,1
14,region,national,1
15,population,Indigenous,1
15,sector,public_services,1
15,region,national,1
16,population,youth,1
16,sector,employment,1
16,sector,skills_training,0
16,sector,education,0
16,region,national,1
17,population,general_public,1
17,sector,healthcare,1
17,region,national,1
18,population,general_public,1
18,sector,healthcare,1
18,region,national,1
19,population,general_public,1
19,sector,public_services,1
19,region,national,1
20,population,Indigenous,1
20,sector,employment,1
20,region,national,1
21,population,general_public,1
21,sector,public_services,1
21,region,national,1
22,population,general_public,1
22,sector,education,1
22,sector,healthcare,0
22,region,national,1
23,population,Indigenous,1
23,sector,funding_grants,1
23,region,national,1
24,population,Indigenous,1
24,population,First_Nations,0
24,sector,public_services,1
24,region,national,1
25,population,Indigenous,1
25,sector,employment,1
25,region,ON,1
26,population,general_public,1
26,sector,employment,1
26,region,national,1
27,population,Indigenous,1
27,sector,language_training,1
27,region,national,1
28,population,Indigenous,1
28,sector,public_services,1
28,region,national,1
29,population,general_public,1
29,sector,employment,1
29,sector,education,0
29,region,national,1
30,population,general_public,1
30,sector,public_services,1
30,region,national,1
31,population,general_public,1
31,sector,employment,1
31,region,national,1
32,population,Indigenous,1
32,population,youth,0
32,population,disabilities,0
32,population,women,0
32,population,seniors,0
32,sector,employment,1
32,sector,education,0
32,sector,healthcare,0
32,sector,mental_health,0
32,sector,housing,0
32,sector,disability_support,0
32,region,AB,1
33,population,general_public,1
33,sector,healthcare,1
33,region,national,1
34,population,general_public,1
34,sector,employment,1
34,region,national,1
35,population,general_public,1
35,sector,public_services,1
35,region,national,1
36,population,general_public,1
36,sector,employment,1
36,region,national,1
37,population,Inuit,1
37,sector,public_services,1
37,region,NU,1
38,population,general_public,1
38,sector,employment,1
38,region,national,1
39,population,Indigenous,1
39,population,newcomers,0
39,population,youth,0
39,population,disabilities,0
39,sector,employment,1
39,sector,skills_training,0
39,sector,education,0
39,sector,healthcare,0
